Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.9464285714285714,0.9444444444444444,1.0,0.9714285714285714,0.9647058823529412
RandomForest,0.9196428571428571,0.979381443298969,0.9313725490196079,0.9547738693467337,0.961764705882353
SVM,0.9107142857142857,0.9791666666666666,0.9215686274509803,0.9494949494949495,0.9343137254901961
DecisionTree,0.9017857142857143,0.9595959595959596,0.9313725490196079,0.945273631840796,0.7745098039215687
LogisticRegression,0.8839285714285714,0.968421052631579,0.9019607843137255,0.934010152284264,0.9401960784313725
